78130368,Rua Santa Terezinha (Lot Jd N Horizonte),Ikaray,10112,13
78130372,Rua São Gabriel (Lot Jd N Horizonte),Ikaray,10112,13
78130374,Rua São Rafael (Lot Jd N Horizonte),Ikaray,10112,13
78130376,Rua São João Batista (Lot Jd N Horizonte),Ikaray,10112,13
78130377,Avenida Alzira Santana (Lot Jd N Horizonte),Ikaray,10112,13
78130378,Rua Nossa Senhora de Salete (Lot Jd N Horizonte),Ikaray,10112,13
78130384,Rua São Miguel (Lot Jd N Horizonte),Ikaray,10112,13
78130386,Avenida Frei Coimbra (Lot Jd N Horizonte),Ikaray,10112,13
78130388,Rua das Oliveiras (Lot Jd N Horizonte),Ikaray,10112,13
78130392,Rua Cassildo Cesar da Costa (Lot Jd N Horizonte),Ikaray,10112,13
78130394,Rua General Isidoro Dias (Lot Jd N Horizonte),Ikaray,10112,13
78130396,Rua das Missões (Lot Jd N Horizonte),Ikaray,10112,13
78130398,Rua Etevaldo Rodrigues (Lot Jd N Horizonte),Ikaray,10112,13
78130402,Rua São Pedro (Lot Jd N Horizonte),Ikaray,10112,13
78130404,Rua Santa Rosa (Lot Jd N Horizonte),Ikaray,10112,13
78130405,Rua Nossa Senhora de Lourdes (Lot Jd N Horizonte),Ikaray,10112,13
78130408,Rua Nossa Senhora Aparecida (Lot Jd N Horizonte),Ikaray,10112,13
78130410,Rua Nossa Senhora de Nazaré (Lot Jd N Horizonte),Ikaray,10112,13
78130412,Rua Santana (Lot Jd N Horizonte),Ikaray,10112,13
78130414,Rua Theodorico Marques de Assunção (Lot Jd N Horizonte),Ikaray,10112,13
78130416,Rua Santa Luzia (Lot Jd N Horizonte),Ikaray,10112,13
78130418,Rua Nossa Senhora das Graças (Lot Jd N Horizonte),Ikaray,10112,13
78130422,Rua Nossa Senhora Auxiliadora (Lot Jd N Horizonte),Ikaray,10112,13
78130424,Rua São Bento (Lot Jd N Horizonte),Ikaray,10112,13
78130426,Rua Siqueira Campos (Lot Jd N Horizonte),Ikaray,10112,13
78130428,Rua Luiz Carlos Prestes (Lot Jd N Horizonte),Ikaray,10112,13
78130430,Rua Olindo Gonçalo Galvão (Lot Jd Ikaray),Ikaray,10112,13
78130431,Rua João Alberto (Lot Jd Ikaray),Ikaray,10112,13
78130432,Rua Enoque (Lot Jd Ikaray),Ikaray,10112,13
78130433,Rua Almirante Isaías de Noronha (Lot Jd Ikaray),Ikaray,10112,13
78130434,Rua Luiz Carlos Prestes (Lot Jd Ikaray),Ikaray,10112,13
78130435,Rua Siqueira Campos (Lot Jd Ikaray),Ikaray,10112,13
